Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
49ers,550.8,338.0,61.4,6.9,3577.2,24.8,13.4,87.2,185.1,33.6,47.6,9.4,71.9,36.7,2015.0
Bears,559.4,351.1,62.8,7.0,3676.0,23.3,15.3,86.7,191.3,34.3,48.6,8.3,70.1,37.8,2015.0
Bengals,578.2,357.1,61.7,6.9,3722.6,21.6,15.1,84.0,189.2,32.8,49.1,8.1,74.9,37.8,2015.0
Bills,543.8,328.7,60.5,6.8,3442.4,22.1,16.8,81.5,180.4,33.3,43.7,7.9,63.6,38.1,2015.0
Broncos,561.0,339.4,60.5,6.7,3498.7,23.7,13.9,84.5,184.6,32.9,45.4,7.7,78.2,42.9,2015.0
Browns,553.2,342.3,61.9,7.1,3699.9,26.4,13.3,89.3,192.0,34.8,48.1,8.8,67.8,33.9,2015.0
Buccaneers,561.4,371.2,66.2,7.7,4106.2,28.8,14.3,96.0,207.9,37.1,54.0,10.1,71.8,33.8,2015.0
Cardinals,563.3,348.3,61.8,7.0,3683.8,24.0,14.7,86.2,189.4,33.6,52.4,8.4,76.1,41.3,2015.0
Chargers,527.1,336.7,64.0,7.3,3624.1,23.1,13.3,90.0,180.4,34.2,48.9,8.3,73.2,34.3,2015.0
Chiefs,560.4,330.0,58.8,7.1,3721.4,24.6,15.7,83.9,195.7,35.0,51.9,9.6,63.6,39.1,2015.0
Colts,543.4,351.0,64.6,7.5,3871.9,25.0,12.8,92.9,198.4,36.5,52.0,8.7,71.3,35.1,2015.0
Cowboys,560.7,365.9,65.2,7.3,3862.8,24.0,10.9,93.1,197.8,35.3,51.7,8.3,72.1,35.7,2015.0
Dolphins,557.9,346.8,62.3,7.4,3875.9,27.0,14.4,90.1,200.0,35.9,56.4,8.4,76.9,34.7,2015.0
Eagles,583.1,355.7,60.9,7.3,3961.8,27.7,13.9,89.2,199.3,34.2,55.6,11.6,72.2,40.2,2015.0
Falcons,564.8,364.4,64.5,7.4,3965.3,24.8,14.1,90.9,204.3,36.2,51.7,8.8,67.2,30.3,2015.0
Giants,576.8,361.9,62.8,7.5,4075.7,25.8,16.2,88.8,202.6,35.2,58.4,10.8,70.8,34.8,2015.0
Jaguars,535.3,337.7,63.0,7.1,3597.6,22.2,11.6,89.1,184.8,34.5,49.7,9.1,75.3,37.2,2015.0
Jets,555.1,331.1,59.6,7.0,3688.8,25.7,12.3,87.2,187.4,33.8,51.8,10.3,82.2,35.4,2015.0
Lions,562.9,363.6,64.7,7.3,3873.2,26.9,13.2,92.8,199.2,35.4,51.4,9.7,72.9,36.1,2015.0
Packers,557.3,341.0,61.3,7.5,3897.7,26.7,16.2,88.4,203.8,36.6,55.7,9.8,72.3,40.7,2015.0
Panthers,561.7,364.2,64.9,7.2,3760.2,24.2,15.2,89.7,194.1,34.7,49.3,8.6,77.0,44.3,2015.0
Patriots,588.8,355.8,60.4,7.1,3912.4,23.7,17.3,83.0,201.3,34.1,58.7,8.0,69.6,40.8,2015.0
Raiders,548.0,346.3,63.3,7.6,3975.3,29.6,11.7,96.0,193.1,35.3,58.0,11.9,77.4,29.2,2015.0
Rams,546.8,352.7,64.4,7.3,3701.7,22.7,14.2,89.2,189.0,34.6,47.2,8.7,75.3,43.9,2015.0
Ravens,561.3,336.2,59.8,6.8,3556.3,20.6,14.0,82.1,181.0,32.3,48.8,9.3,71.6,40.3,2015.0
Redskins,549.0,351.4,64.0,7.6,3916.1,28.2,13.9,93.8,199.7,36.4,55.9,9.7,69.8,39.4,2015.0
Saints,570.8,356.8,62.6,7.6,4072.6,28.0,12.3,93.2,205.7,36.0,54.3,12.1,73.2,38.8,2015.0
Seahawks,546.8,333.3,60.9,6.7,3430.9,17.8,16.4,79.2,183.6,33.5,44.4,6.3,68.2,37.7,2015.0
Steelers,551.0,335.9,60.8,6.8,3508.3,22.7,12.9,85.2,180.9,32.7,44.1,8.8,76.1,43.0,2015.0
Texans,553.1,329.2,59.5,7.0,3610.4,26.6,13.6,86.7,180.3,32.6,48.7,11.0,73.8,37.8,2015.0
Titans,568.7,359.2,63.2,7.2,3815.8,25.2,12.8,90.1,204.9,36.0,49.8,7.7,71.1,38.4,2015.0
Vikings,566.7,361.6,63.8,7.0,3681.7,24.7,12.6,89.6,199.6,35.1,45.9,8.2,68.8,43.9,2015.0
