Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,Category,Team
Redskins,406,1962,4.8,10,11,4,70,103,25.4,13,2015,rushing,defense
Buccaneers,466,1606,3.4,12,4,0,21T,104,22.3,9,2015,rushing,defense
Seahawks,362,1304,3.6,10,4,1,48T,71,19.6,9,2015,rushing,defense
49ers,504,2020,4,20,9,4,71T,128,25.4,4,2015,rushing,defense
Chargers,417,2005,4.8,17,21,3,65T,101,24.2,7,2015,rushing,defense
Steelers,382,1459,3.8,6,6,1,44,71,18.6,12,2015,rushing,defense
Cardinals,373,1460,3.9,9,12,2,52,79,21.2,12,2015,rushing,defense
Eagles,478,2153,4.5,10,15,5,84,100,20.9,3,2015,rushing,defense
Jets,373,1335,3.6,4,6,1,45,62,16.6,8,2015,rushing,defense
Giants,444,1942,4.4,15,12,4,68T,104,23.4,11,2015,rushing,defense
Saints,421,2071,4.9,12,17,1,45,103,24.5,15,2015,rushing,defense
Patriots,397,1580,4,8,8,1,48T,77,19.4,6,2015,rushing,defense
Vikings,411,1748,4.3,7,7,2,72T,94,22.9,6,2015,rushing,defense
Dolphins,502,2019,4,13,12,3,53,112,22.3,3,2015,rushing,defense
Raiders,406,1678,4.1,12,8,2,80T,94,23.2,2,2015,rushing,defense
Rams,453,1820,4,7,15,1,47,98,21.6,9,2015,rushing,defense
Chiefs,383,1571,4.1,7,9,1,42,86,22.5,7,2015,rushing,defense
Jaguars,464,1709,3.7,15,12,1,87T,102,22,4,2015,rushing,defense
Colts,452,1952,4.3,14,16,3,56,89,19.7,10,2015,rushing,defense
Texans,388,1597,4.1,10,10,1,85T,79,20.4,5,2015,rushing,defense
Titans,462,1797,3.9,11,10,0,32,101,21.9,3,2015,rushing,defense
Packers,420,1905,4.5,13,14,4,55,96,22.9,8,2015,rushing,defense
Lions,428,1808,4.2,18,14,5,75,96,22.4,7,2015,rushing,defense
Broncos,408,1337,3.3,10,5,1,48T,81,19.9,4,2015,rushing,defense
Cowboys,461,1934,4.2,16,10,1,50T,113,24.5,2,2015,rushing,defense
Browns,458,2055,4.5,11,14,4,54,104,22.7,6,2015,rushing,defense
Bengals,344,1477,4.3,8,11,3,69T,74,21.5,4,2015,rushing,defense
Bears,433,1934,4.5,9,5,1,44T,103,23.8,6,2015,rushing,defense
Panthers,364,1415,3.9,11,10,1,63T,74,20.3,9,2015,rushing,defense
Bills,394,1730,4.4,10,9,2,58,87,22.1,4,2015,rushing,defense
Ravens,418,1661,4,10,9,1,62,80,19.1,7,2015,rushing,defense
Falcons,416,1680,4,20,12,1,44,107,25.7,7,2015,rushing,defense
