Team,Year,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Category,Team.1
AVG others,2019,557.1290322580645,354.16129032258067,63.5741935483871,7.241935483870969,3766.3870967741937,25.032258064516128,12.709677419354838,90.65806451612903,193.8709677419355,34.76774193548387,52.96774193548387,9.064516129032258,72.06451612903226,39.70967741935484,passing,defense
AVG others,2018,550.516129032258,357.80645161290323,65.0032258064516,7.4,3799.8064516129034,26.387096774193548,12.935483870967742,93.35483870967742,195.74193548387098,35.56774193548387,51.25806451612903,8.741935483870968,72.96774193548387,40.354838709677416,passing,defense
AVG others,2017,544.741935483871,338.48387096774195,62.164516129032265,7.0290322580645155,3588.1612903225805,23.129032258064516,13.258064516129032,87.29677419354843,185.29032258064515,34.00645161290323,48.354838709677416,8.483870967741936,71.64516129032258,37.32258064516129,passing,defense
AVG others,2016,570.9354838709677,359.93548387096774,63.00322580645161,7.16774193548387,3865.5806451612902,24.677419354838708,12.96774193548387,89.45806451612904,199.29032258064515,34.900000000000006,49.67741935483871,9.32258064516129,71.64516129032258,34.96774193548387,passing,defense
AVG others,2015,571.7741935483871,360.741935483871,63.16129032258065,7.31290322580645,3923.967741935484,26.548387096774192,13.612903225806452,90.95806451612904,197.61290322580646,34.62903225806452,53.225806451612904,10.516129032258064,72.03225806451613,36.61290322580645,passing,defense
AVG others,2014,558.2258064516129,350.258064516129,62.78709677419354,7.219354838709678,3787.4193548387098,25.258064516129032,14.0,89.25806451612904,196.51612903225808,35.235483870967734,50.516129032258064,9.419354838709678,73.06451612903226,37.806451612903224,passing,defense
AVG others,2013,568.1290322580645,348.16129032258067,61.3548387096774,7.1645161290322585,3802.6129032258063,25.419354838709676,15.290322580645162,86.90967741935484,195.29032258064515,34.41290322580645,51.96774193548387,9.741935483870968,72.09677419354838,40.354838709677416,passing,defense
AVG others,2012,555.8387096774194,338.64516129032256,60.86451612903224,7.083870967741936,3702.1935483870966,23.93548387096774,14.67741935483871,85.79354838709678,192.03225806451613,34.54516129032258,49.38709677419355,8.161290322580646,69.45161290322581,36.516129032258064,passing,defense
AVG others,2011,542.6129032258065,325.9032258064516,60.09354838709679,7.1967741935483875,3661.9032258064517,23.129032258064516,15.67741935483871,84.45483870967745,186.48387096774192,34.44516129032259,51.483870967741936,9.419354838709678,77.41935483870968,36.774193548387096,passing,defense
