Team,Year,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Category,Team.1
AVG others,2019,557.3225806451613,353.3225806451613,63.48709677419354,7.203225806451614,4007.1290322580644,24.741935483870968,13.064516129032258,90.32580645161292,193.19354838709677,34.70322580645162,52.54838709677419,8.709677419354838,70.0,40.354838709677416,271.5483870967742,passing,offense
AVG others,2018,551.516129032258,357.5483870967742,64.7516129032258,7.351612903225804,4060.064516129032,26.387096774193548,13.161290322580646,92.56451612903226,195.80645161290323,35.412903225806446,51.354838709677416,8.774193548387096,74.03225806451613,40.645161290322584,270.4193548387097,passing,offense
AVG others,2017,545.9354838709677,339.19354838709677,62.12903225806452,7.016129032258065,3829.451612903226,22.677419354838708,13.580645161290322,86.56451612903227,184.7741935483871,33.79999999999999,48.25806451612903,8.516129032258064,71.83870967741936,37.38709677419355,244.51612903225808,passing,offense
AVG others,2016,572.4193548387096,359.93548387096774,62.825806451612905,7.135483870967742,4077.6774193548385,24.322580645161292,13.32258064516129,88.65806451612903,198.8709677419355,34.745161290322585,49.58064516129032,9.193548387096774,71.87096774193549,35.29032258064516,228.29032258064515,passing,offense
AVG others,2015,570.7096774193549,359.96774193548384,63.05806451612904,7.274193548387097,4144.290322580645,26.548387096774192,13.32258064516129,90.76451612903226,196.3548387096774,34.39999999999999,53.225806451612904,10.32258064516129,71.70967741935483,37.03225806451613,245.38709677419354,passing,offense
AVG others,2014,557.0967741935484,348.64516129032256,62.48064516129032,7.22258064516129,4019.5806451612902,24.93548387096774,14.225806451612904,88.42580645161293,195.48387096774192,35.070967741935476,51.03225806451613,9.419354838709678,74.48387096774194,38.25806451612903,241.32258064516128,passing,offense
AVG others,2013,571.483870967742,349.51612903225805,61.0258064516129,7.093548387096775,4053.8387096774195,25.06451612903226,15.903225806451612,85.48387096774194,195.16129032258064,34.10967741935483,51.25806451612903,9.516129032258064,75.12903225806451,40.354838709677416,266.83870967741933,passing,offense
AVG others,2012,555.741935483871,338.6774193548387,60.96774193548388,7.090322580645162,3934.032258064516,23.70967741935484,14.741935483870968,85.60645161290323,192.19354838709677,34.56129032258064,48.96774193548387,8.03225806451613,72.7741935483871,36.483870967741936,234.70967741935485,passing,offense
AVG others,2011,542.6129032258065,325.96774193548384,59.81290322580645,7.129032258064517,3883.7741935483873,23.096774193548388,15.806451612903226,83.4741935483871,186.29032258064515,34.1483870967742,51.25806451612903,9.064516129032258,73.70967741935483,37.41935483870968,242.90322580645162,passing,offense
