Team,Year,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Category,Team.1
AVG others,2019,419.741935483871,1814.0967741935483,4.287096774193548,13.903225806451612,10.258064516129032,2.161290322580645,54.87096774193548,97.48387096774194,22.99677419354839,6.483870967741935,rushing,offense
AVG others,2018,412.64516129032256,1824.516129032258,4.425806451612903,13.580645161290322,12.096774193548388,1.967741935483871,59.225806451612904,99.19354838709677,23.954838709677425,5.806451612903226,rushing,offense
AVG others,2017,428.38709677419354,1743.774193548387,4.0612903225806445,11.96774193548387,9.935483870967742,1.935483870967742,55.12903225806452,90.70967741935483,21.100000000000005,6.064516129032258,rushing,offense
AVG others,2016,414.1290322580645,1738.4193548387098,4.177419354838709,13.67741935483871,9.838709677419354,2.193548387096774,56.12903225806452,94.48387096774194,22.700000000000003,6.67741935483871,rushing,offense
AVG others,2015,421.83870967741933,1742.1290322580646,4.119354838709677,11.35483870967742,10.516129032258064,2.032258064516129,55.03225806451613,93.16129032258064,21.964516129032262,7.0,rushing,offense
AVG others,2014,427.4193548387097,1783.0645161290322,4.151612903225806,11.838709677419354,10.290322580645162,2.064516129032258,60.54838709677419,92.54838709677419,21.561290322580653,6.903225806451613,rushing,offense
AVG others,2013,431.03225806451616,1793.774193548387,4.141935483870967,12.774193548387096,10.419354838709678,2.225806451612903,55.29032258064516,94.93548387096774,21.925806451612903,6.612903225806452,rushing,offense
AVG others,2012,434.8709677419355,1853.1612903225807,4.229032258064516,12.387096774193548,11.129032258064516,2.2903225806451615,58.064516129032256,96.87096774193549,22.016129032258064,7.032258064516129,rushing,offense
AVG others,2011,437.4193548387097,1888.741935483871,4.303225806451614,12.35483870967742,12.064516129032258,2.2580645161290325,57.96774193548387,97.12903225806451,22.145161290322584,7.032258064516129,rushing,offense
