ID,Equipo,Origen,Entrenador,Ciudad,Estado,Estadio,Latitud,Longitud,Capacidad,Fundación,Filiación,Patrocinador,Kit,Kit_Origen
11,Pachuca,Uruguay,Paulo Pezzolano,Pachuca,Hidalgo,Hidalgo,20.10501431,-98.75623599,30000,1892,1943,Cementos Fortaleza,Charly,Mexicana
5,Chivas,Mexico,Víctor Manuel Vucetich,Guadalajara,Jalisco,Akron,20.68143511,-103.4626884,49850,1906,1943,Caliente,Puma,Alemana
1,América,Argentina,Santiago Solari,Distrito Federal,Distrito Federal,Azteca,19.30241516,-99.15051697,87000,1916,1943,AT&T,Nike,USA
2,Atlas,Argentina,Diego Cocca,Guadalajara,Jalisco,Jalisco,20.70467354,-103.3281876,56713,1916,1943,Banco Azteca,Charly,Mexicana
17,Toluca,Uruguay,Hernán Cristante,Toluca,Estado de México,Nemesio Díez,19.28752242,-99.66679842,30000,1917,1943,Tolucafc,Under Armour,USA
10,Necaxa,Mexico,Guillermo Vázquez,Aguascalientes,Aguascalientes,Victoria,21.88037326,-102.2755708,25994,1923,1943,Rolcar,Pirma,Mexicana
4,Cruz Azul,Peru,Juan Reynoso,Distrito Federal,Distrito Federal,Azteca,19.30241516,-99.15051697,87000,1927,1964,Cemento Cruz Azul,Joma,Española
7,León,Mexico,Ignacio Ambriz,León,Guanajuato,León,21.11522511,-101.6575849,31297,1943,1943,Telcel,Pirma,Mexicana
12,Puebla,Argentina,Nicolás Larcamón,Puebla,Puebla,Cuauhtémoc,19.07742363,-98.16390615,51726,1944,1943,AT&T,Umbro,Inglesa
9,Monterrey,Mexico,Javier Aguirre,Monterrey,Nuevo León,BBVA,25.66891501,-100.2440281,53500,1945,1945,BBVA México,Puma,Alemana
13,Querétaro,Mexico,Héctor Altamirano,Querétaro,Querétaro,Corregidora,20.57742518,-100.3658991,35575,1950,1950,Banco Multiva,Charly,Mexicana
18,Pumas,Uruguay,Andrés Lillini,Distrito Federal,Distrito Federal,Olímpico Universitario,19.33165939,-99.19285362,72000,1954,1962,DHL,Nike,USA
15,Tigres,Brasil,Ricardo Ferretti,Monterrey,Nuevo León,Universitario,25.91197378,-100.2458293,41615,1960,1973,Cemex,Adidas,Alemana
14,Santos,Uruguay,Guillermo Almada,Torreón,Coahuila,Corona,25.62873956,-103.379646,30000,1983,1988,Soriana,Charly,Mexicana
16,Tijuana,Argentina,Robert Siboldi,Tijuana,Baja California,Caliente,32.50623613,-116.9927215,27333,2007,2011,Caliente,Charly,Mexicana
3,San Luis,Uruguay,Leonel Rocco,San Luis Potosí,San Luis Potosí,Alfonso Lastras,22.13845318,-100.9510356,30000,2013,2019,Canel's,Pirma,Mexicana
6,Juárez,Mexico,Alfonso Sosa,Ciudad Juárez,Chihuahua,Olímpico Benito Juárez,28.20415268,-105.4374402,19703,2015,2016,S-Mart,Carrara,Mexicana
8,Mazatlán,Mexico,Tomás Boy,Mazatlán,Sinaloa,Mazatlán,23.27575078,-106.3819956,25000,2020,2020,Caliente,Pirma,Mexicana
